シンボル,名称,価格,"価格変動 %, 1日","出来高, 1日",時価総額,セクター,業種,取引所,証券種別,証券サブタイプ,売上高TTM
RTX,RTX Corporation,205.16,-1.2371828816251833,3086622,276506062256.9576,Electronic Technology,Aerospace & Defense,NYSE,stock,common,88603000000
DELL,"Dell Technologies, Inc. Class C",425,-6.80028946733624,15463082,275519449130.33704,Electronic Technology,Computer Processing Hardware,NYSE,stock,common,113725000000
WFC,Wells Fargo & Company,87.04,0.7524018983678733,19322927,263208894390.03586,Finance,Major Banks,NYSE,stock,common,124235000000
AZN,AstraZeneca PLC,162.47,0.20970825880466507,2598453,251972419942.28012,Health Technology,Pharmaceuticals: Major,NYSE,stock,common,60045349107.44506
GEV,GE Vernova Inc.,898.53,0,2334480,239308726311,Producer Manufacturing,Electrical Products,NYSE,stock,common,38062000000
ANET,Arista Networks Inc,189.26,-3.2858091880014344,4369791,238699372548.53534,Electronic Technology,Computer Peripherals,NYSE,stock,common,9005700000
AMGN,Amgen Inc.,438.12,1.9168139946031473,2358202,236861702873.51434,Health Technology,Biotechnology,NASDAQ,stock,common,36741000000
TXN,Texas Instruments Incorporated,253.34,-2.9013836188724165,7214608,231362170666.35254,Electronic Technology,Semiconductors,NASDAQ,stock,common,17682000000
SNDK,Sandisk Corporation,1536.87,-1.9040020425097437,11691940,225026971272.76407,Electronic Technology,Computer Peripherals,NASDAQ,stock,common,20248000000
LIN,Linde plc,486.76,-0.5760039217288274,1641642,224386698267.3734,Process Industries,Chemicals: Specialty,NASDAQ,stock,common,33986000000
KLAC,KLA Corporation,170.89,-2.5990310629809077,10462465,223275770724.2773,Electronic Technology,Semiconductors,NASDAQ,stock,common,13572650000
C,Citigroup Inc.,132.54,0.6989819176416863,6949485,222327460926.9208,Finance,Major Banks,NYSE,stock,common,169155000000
TMO,Thermo Fisher Scientific Inc.,600.5,-2.690001620482908,1385014,222033235219.4863,Health Technology,Medical Specialties,NYSE,stock,common,44556000000
CRWD,"CrowdStrike Holdings, Inc. Class A",215.07,-6.896103896103899,13709259,220217660544.73907,Technology Services,Packaged Software,NASDAQ,stock,common,4812005000
AXP,American Express Company,324.19,-1.8111881757882358,2560918,218928697651.3315,Finance,Finance/Rental/Leasing,NYSE,stock,common,80484000000
IBM,International Business Machines Corporation,231.4,-1.0561423012784876,3236848,218009895473.02948,Technology Services,Information Technology Services,NYSE,stock,common,67536000000
CRM,"Salesforce, Inc.",258.11,0.22132484274287223,15887010,212424537047.56357,Technology Services,Packaged Software,NYSE,stock,common,41525000000
VZ,Verizon Communications Inc.,50.3,0.5597760895641624,20187683,208985204061.0215,Communications,Wireless Telecommunications,NYSE,stock,common,138191000000
TD,Toronto-Dominion Bank,119.5,-1.1661566454387533,2902563,201894766410.93222,Finance,Major Banks,NYSE,stock,common,87274502400
TTE,TotalEnergies SE,90.35,2.310044162608982,1065309,201678159423.49396,Energy Minerals,Integrated Oil,NYSE,stock,common,189765227408.711
APH,Amphenol Corporation Class A,163.18,2.9202144433932484,7713360,201198254748.82382,Electronic Technology,Electronic Components,NYSE,stock,common,23094700000
TMUS,"T-Mobile US, Inc.",182.16,0.9532254489026818,3942015,195397866921.04056,Communications,Wireless Telecommunications,NASDAQ,stock,common,88309000000
PEP,"PepsiCo, Inc.",139.79,-0.3919053726663897,5529651,190798174939.86646,Consumer Non-Durables,Food: Specialty/Candy,NASDAQ,stock,common,93924000000
ABT,Abbott Laboratories,108.93,-1.2957593330916932,7229086,188490653996.20245,Health Technology,Medical Specialties,NYSE,stock,common,44328000000
SCHW,Charles Schwab Corp,108.28,-1.4022946639956222,8172207,187252468356.62686,Finance,Investment Banks/Brokers,NYSE,stock,common,27675000000
GILD,"Gilead Sciences, Inc.",149.92,2.4463577969112915,4868082,185894060660.60297,Health Technology,Biotechnology,NASDAQ,stock,common,29448000000
STX,Seagate Technology Holdings PLC,816.64,-1.4172239793331574,2421658,185086978629.58582,Electronic Technology,Computer Peripherals,NASDAQ,stock,common,12195000000
MCD,McDonald's Corporation,261.11,-0.9220611671852496,3701002,184772272701.08035,Consumer Services,Restaurants,NYSE,stock,common,26885000000
MRVL,"Marvell Technology, Inc.",210.39,-0.6000188982330201,22179778,184490999328.7244,Electronic Technology,Semiconductors,NASDAQ,stock,common,8194600000
DIS,Walt Disney Company,106.22,-1.2366341236634109,7033865,183408686622.6055,Consumer Services,Movies/Entertainment,NYSE,stock,common,94175000000
BLK,"BlackRock, Inc.",1128.1,-2.3805609158799244,575622,183289387272.13455,Finance,Investment Managers,NYSE,stock,common,24922000000
DE,Deere & Company,676.08,3.2325052297262333,2309782,182288330745.69403,Producer Manufacturing,Trucks/Construction/Farm Machinery,NYSE,stock,common,45628000000
SHOP,"Shopify, Inc. Class A",139.82,-5.123159394720778,9153022,179898571976.91748,Commercial Services,Miscellaneous Commercial Services,NASDAQ,stock,common,11758293947.24386
T,AT&T Inc,26,0.42487446890691166,32807844,178162025096.87137,Communications,Wireless Telecommunications,NYSE,stock,common,125648000000
QCOM,QUALCOMM Incorporated,166.61,-2.270061004223355,8901039,174979463481.25183,Electronic Technology,Semiconductors,NASDAQ,stock,common,44284000000
WELL,Welltower Inc.,240.42,1.7693870640027,3416853,173281501081.5211,Finance,Real Estate Investment Trusts,NYSE,stock,common,10829438000
NEE,"NextEra Energy, Inc.",82.93,0.7165411707554086,11158426,172990170360.43906,Utilities,Electric Utilities,NYSE,stock,common,26526000000
UNP,Union Pacific Corporation,290.62,-3.342535005155157,3042495,172650229662.45245,Transportation,Railroads,NYSE,stock,common,24510000000
ADI,"Analog Devices, Inc.",354.52,-2.1041586126912257,3571570,171788153900.8771,Electronic Technology,Semiconductors,NASDAQ,stock,common,11019707000
SCCO,Southern Copper Corporation,201.61,-3.475846220136923,970076,170228127152.42743,Non-Energy Minerals,Other Metals/Minerals,NYSE,stock,common,13420000000
BX,Blackstone Inc.,136.66,-4.593688913711262,5144099,169709432625.87183,Finance,Investment Managers,NYSE,stock,common,13654656000
UBS,UBS Group AG,54.14,-2.8356066044508226,2313892,163931738664.3618,Finance,Investment Managers,NYSE,stock,common,82695597618.984
COP,ConocoPhillips,136.19,2.792663597252614,6414268,163610164233.63052,Energy Minerals,Oil & Gas Production,NYSE,stock,common,58714000000
PFE,Pfizer Inc.,28.55,0.3162333099086432,42480520,162725668618.08502,Health Technology,Pharmaceuticals: Major,NYSE,stock,common,62579000000
BA,Boeing Company,205.66,-1.0203099432091658,5011583,162547492241.19193,Electronic Technology,Aerospace & Defense,NYSE,stock,common,89462000000
WDC,Western Digital Corporation,450.44,-0.02441460437243672,5480613,162402049439.4265,Electronic Technology,Computer Peripherals,NASDAQ,stock,common,12919000000
IBKR,"Interactive Brokers Group, Inc. Class A",90.39,-7.0921985815602895,5135491,153781338497.61,Finance,Investment Banks/Brokers,NASDAQ,stock,common,10428000000
UBER,"Uber Technologies, Inc.",75.24,-0.5419695968275092,11211908,153682231093.0358,Transportation,Other Transportation,NYSE,stock,common,52017000000
ETN,Eaton Corp. Plc,390.71,-2.779436647755553,2022266,151751763459.45367,Producer Manufacturing,Electrical Products,NYSE,stock,common,27448000000
NOW,"ServiceNow, Inc.",142.9,-3.439421582539363,16895143,147758605484.64087,Technology Services,Packaged Software,NYSE,stock,common,13278000000
BKNG,Booking Holdings Inc.,195.69,-1.7077703551157797,5301249,147037646002.24057,Consumer Services,Other Consumer Services,NASDAQ,stock,common,26917000000
TJX,TJX Companies Inc,133.27,-0.4779329400343413,7177689,146593538858.37494,Retail Trade,Apparel/Footwear Retail,NYSE,stock,common,60372000000
DHR,Danaher Corporation,206.93,-3.104513953923954,3149225,145468908695.47888,Health Technology,Medical Specialties,NYSE,stock,common,24568000000
VRTX,Vertex Pharmaceuticals Incorporated,547.65,0.5748181884962895,734941,138807879044.06973,Health Technology,Pharmaceuticals: Major,NASDAQ,stock,common,12074600000
BMY,Bristol-Myers Squibb Company,66.92,0.16464601107618534,6933270,136698456010.74632,Health Technology,Pharmaceuticals: Major,NYSE,stock,common,48194000000
PLD,"Prologis, Inc.",139.68,-0.17152658662091244,3096503,135074066396.26418,Finance,Real Estate Investment Trusts,NYSE,stock,common,8790127000
CB,Chubb Limited,338.74,0.041346721795625034,1208415,130685838532.90224,Finance,Property/Casualty Insurance,NYSE,stock,common,59786000000
ISRG,"Intuitive Surgical, Inc.",369.25,-2.019317518441865,1848713,130447913287.07608,Health Technology,Medical Specialties,NASDAQ,stock,common,10064700000
SPGI,"S&P Global, Inc.",440.21,1.0026615271659334,3291099,129773901535.82967,Commercial Services,Financial Publishing/Services,NYSE,stock,common,15336000000
COF,Capital One Financial Corp,211.34,-1.4777865833760606,3123645,129653874786.67848,Finance,Major Banks,NYSE,stock,common,69072000000
NEM,Newmont Corporation,122.63,-2.720926542916077,8016743,129214279432.64087,Non-Energy Minerals,Precious Metals,NYSE,stock,common,22097000000
PGR,Progressive Corporation,220.54,1.1280264123257424,2364177,128155789691.94608,Finance,Multi-Line Insurance,NYSE,stock,common,87637000000
LMT,Lockheed Martin Corporation,544.5,-2.9809525506476877,1045241,125665562391.71196,Electronic Technology,Aerospace & Defense,NYSE,stock,common,75048000000
GLW,Corning Inc,145.56,-2.1313790089423708,10673335,125383678170.48854,Electronic Technology,Electronic Components,NYSE,stock,common,15629000000
CVS,CVS Health Corporation,97.6,3.9292940048983045,8611495,124827509750.23746,Retail Trade,Drugstore Chains,NYSE,stock,common,402111000000
SYK,Stryker Corporation,317.4,-1.9765287214329939,2138361,121746074676.73193,Health Technology,Medical Specialties,NYSE,stock,common,25116000000
SBUX,Starbucks Corporation,106.15,-0.09411764705881817,4628406,121011000000,Consumer Services,Restaurants,NASDAQ,stock,common,37161900000
PH,Parker-Hannifin Corporation,952.09,-2.7924119905252,645062,120008536099.38062,Producer Manufacturing,Industrial Machinery,NYSE,stock,common,21499000000
BMO,Bank of Montreal,168.3,-1.1802008102871182,840943,118852745762.983,Finance,Major Banks,NYSE,stock,common,55560305400
FTNT,"Fortinet, Inc.",161.85,-5.312116070906226,5491961,118751544802.17574,Technology Services,Information Technology Services,NASDAQ,stock,common,6799600000
MDT,Medtronic Plc,92.04,1.5333701047986767,18838634,117809438032.5392,Health Technology,Medical Specialties,NYSE,stock,common,36364000000
MO,"Altria Group, Inc.",69.57,1.5917056074766196,9824797,116164088572.37907,Consumer Non-Durables,Tobacco,NYSE,stock,common,20116000000
ACN,Accenture Plc Class A,188.09,-0.8800590219224217,3409521,115100193531.00006,Technology Services,Information Technology Services,NYSE,stock,common,69672977000
ADBE,Adobe Inc.,286.08,-2.2917449366440232,4449433,113716803319.14941,Technology Services,Packaged Software,NASDAQ,stock,common,23767000000
ADP,"Automatic Data Processing, Inc.",283.49,-0.9330444506569805,1781960,112620020237.98012,Technology Services,Packaged Software,NASDAQ,stock,common,21947400000
BNS,Bank of Nova Scotia,91.19,-0.512764564695613,1977735,112394783147.21564,Finance,Major Banks,NYSE,stock,common,51521748000
LOW,"Lowe's Companies, Inc.",200.05,-2.271617000488509,3506740,112238854249.97217,Retail Trade,Home Improvement Chains,NYSE,stock,common,86286000000
SPOT,Spotify Technology SA,544.15,0.09749457341524828,1260296,112030874019.94249,Technology Services,Internet Software/Services,NYSE,stock,common,19395740658.8676
SNOW,"Snowflake, Inc.",319.8,-3.5090365989801753,3989633,110842679502.10663,Technology Services,Packaged Software,NYSE,stock,common,4683946000
ENB,Enbridge Inc.,50.72,0.2966185485465663,5869473,110776815909.92877,Industrial Services,Oil & Gas Pipelines,NYSE,stock,common,47424753200
ABNB,"Airbnb, Inc. Class A",182.545,-0.36840956227486704,4305867,109305335884.4721,Consumer Services,Hotels/Resorts/Cruise lines,NASDAQ,stock,common,12305000000
BNY,Bank of New York Mellon Corp,160.51,-0.4774305555555619,3143319,108906700355.15234,Finance,Investment Banks/Brokers,NYSE,stock,common,40550000000
MPC,Marathon Petroleum Corporation,383,2.592949748205295,2376697,107555876591.81668,Energy Minerals,Oil Refining/Marketing,NYSE,stock,common,132542000000
CNQ,Canadian Natural Resources Limited,51.81,3.475134811264234,6148220,106806311716.48814,Energy Minerals,Integrated Oil,NYSE,stock,common,28226488400
MCK,McKesson Corporation,906.77,2.4228527538065254,787970,105720643923.3701,Distribution Services,Medical Distributors,NYSE,stock,common,403430000000
APP,AppLovin Corp. Class A,311.74,-0.1025443824905445,3897860,104324099793.02507,Technology Services,Packaged Software,NASDAQ,stock,common,5480717000
VLO,Valero Energy Corporation,361.99,0.855343809205392,2733644,104226865042.402,Energy Minerals,Oil Refining/Marketing,NYSE,stock,common,122718000000
CM,Canadian Imperial Bank of Commerce,112.42,-0.9689922480620105,1335758,104169561552.38802,Finance,Regional Banks,NYSE,stock,common,43973262600
FCX,"Freeport-McMoRan, Inc.",72.47,-4.31740163717982,12799488,104068182105.14102,Non-Energy Minerals,Other Metals/Minerals,NYSE,stock,common,25128000000
CME,CME Group Inc. Class A,286.45,0.3327495621716247,1664467,103001475830.39857,Finance,Investment Banks/Brokers,NASDAQ,stock,common,6520600000
NET,Cloudflare Inc Class A,285.51,-6.423912687227565,2492806,101664314381.54759,Technology Services,Information Technology Services,NYSE,stock,common,2167937000
HWM,Howmet Aerospace Inc.,254.89,4.057971014492753,5541195,101650485439.14201,Electronic Technology,Aerospace & Defense,NYSE,stock,common,8252000000
EQIX,"Equinix, Inc.",1027.59,-1.8276138795475496,495134,101394033195.84431,Finance,Real Estate Investment Trusts,NASDAQ,stock,common,9217000000
SO,Southern Company,88.09,0.10227272727273114,4892638,101335479939.34024,Utilities,Electric Utilities,NYSE,stock,common,29553000000
PSX,Phillips 66,252.02,2.2061805499229448,3097454,100561249108.81435,Energy Minerals,Oil Refining/Marketing,NYSE,stock,common,132189000000
GD,General Dynamics Corporation,369.41,-0.522418203850814,1269477,99946533178.8872,Electronic Technology,Aerospace & Defense,NYSE,stock,common,52550000000
MELI,"MercadoLibre, Inc.",1963.49,1.409461832455323,325351,99542657777.44429,Retail Trade,Internet Retail,NASDAQ,stock,common,28893000000.0002
CEG,Constellation Energy Corporation,280.31,2.0162317574698916,2412069,99315895768.20615,Utilities,Electric Utilities,NASDAQ,stock,common,26849000000
AEM,Agnico Eagle Mines Limited,193.46,-4.751120082713803,4666052,98563439998.51245,Non-Energy Minerals,Precious Metals,NYSE,stock,common,12116304286.775846
VRT,Vertiv Holdings Co. Class A,255.97,-1.0629251700680382,4279502,98545427381.34183,Electronic Technology,Electronic Production Equipment,NYSE,stock,common,10229900000
DASH,"DoorDash, Inc. Class A",225.66,-2.623629930094076,3509667,97783878087.42459,Transportation,Air Freight/Couriers,NASDAQ,stock,common,13717000000
TT,Trane Technologies plc,440.15,-0.9563456345634564,821536,96843200510.91528,Producer Manufacturing,Industrial Machinery,NYSE,stock,common,21321900000.2332
KKR,KKR & Co Inc,106.41,-3.016769959897924,4089993,95517407399.35608,Finance,Investment Managers,NYSE,stock,common,20288013000
USB,U.S. Bancorp,61.21,-0.6008444300097393,6902594,95368335987.79881,Finance,Major Banks,NYSE,stock,common,42226000000
PNC,"PNC Financial Services Group, Inc.",237.49,-0.8930434419730361,1348601,94745132824.46756,Finance,Major Banks,NYSE,stock,common,33900000000
INTU,Intuit Inc.,344.93,-3.9994433620929595,2672456,94351109824.99602,Technology Services,Packaged Software,NASDAQ,stock,common,21448000000
DUK,Duke Energy Corporation,120.39,0.40030022516888003,3174671,93868351864.97598,Utilities,Electric Utilities,NYSE,stock,common,32237000000
CMCSA,Comcast Corporation Class A,26.3,-1.2021036814425254,19365053,93329143251.8257,Consumer Services,Cable/Satellite TV,NASDAQ,stock,common,123707000000
HOOD,"Robinhood Markets, Inc. Class A",103.51,-1.2403396622459661,22597202,93064005465.79172,Finance,Investment Banks/Brokers,NASDAQ,stock,common,4505000000
WMB,"Williams Companies, Inc.",75.23,0.23984010659561206,7316254,92018893297.4372,Industrial Services,Oil & Gas Pipelines,NYSE,stock,common,11830000000
PWR,"Quanta Services, Inc.",611.39,0.7082969576174791,988915,91918445480.89043,Industrial Services,Engineering & Construction,NYSE,stock,common,28479697000
CSX,CSX Corporation,48.7,-3.583448822015433,15945418,90215522368.54881,Transportation,Railroads,NASDAQ,stock,common,14092000000
RACE,Ferrari NV,410.21,-2.9318504495977384,438040,90154408323.415,Consumer Durables,Motor Vehicles,NYSE,stock,common,8392775973.679999
ICE,"Intercontinental Exchange, Inc.",159.6,-0.6845052893590506,2696878,89598555744.49283,Finance,Investment Banks/Brokers,NYSE,stock,common,12228000000
HCA,HCA Healthcare Inc,413.58,-0.20991675714802863,1258045,89540691088.4886,Health Services,Hospital/Nursing Management,NYSE,stock,common,75600000000
MRSH,"Marsh & McLennan Companies, Inc.",187.58,-1.169652265542676,2064321,89515292064.48177,Finance,Insurance Brokers/Services,NYSE,stock,common,27015000000
BN,Brookfield Corporation,39.74,-3.5904900533721418,6309158,88713650558.70815,Finance,Investment Managers,NYSE,stock,common,78842433782.98138
MNST,Monster Beverage Corporation,44.99,-2.025261324041811,7278680,88137735069.87544,Consumer Non-Durables,Beverages: Non-Alcoholic,NASDAQ,stock,common,8294343000.000001
WM,"Waste Management, Inc.",219.77,0.3882696875571089,2186775,87845404251.68573,Industrial Services,Environmental Services,NYSE,stock,common,25204000000
MMM,3M Company,170.24,-0.925333178141188,3340181,87796584373.00867,Producer Manufacturing,Industrial Conglomerates,NYSE,stock,common,24948000000
ELV,"Elevance Health, Inc.",403.04,2.6748866357568657,1101923,87407001839.30667,Health Services,Managed Health Care,NYSE,stock,common,199125000000
UPS,"United Parcel Service, Inc. Class B",102.66,-1.5062841792190418,3657721,87341235938.67387,Transportation,Air Freight/Couriers,NYSE,stock,common,88635000000
MAR,"Marriott International, Inc. Class A",334.55,-2.109667602996249,1676164,87239366949.32117,Consumer Services,Hotels/Resorts/Cruise lines,NASDAQ,stock,common,26186000000
CDNS,"Cadence Design Systems, Inc.",313.04,-7.5978511128165644,2281872,86209026090.32387,Technology Services,Packaged Software,NASDAQ,stock,common,5296759000
MCO,Moody's Corporation,494.71,-1.9677393785669006,971544,85683772977.38164,Commercial Services,Financial Publishing/Services,NYSE,stock,common,7718000000
EPD,Enterprise Products Partners L.P.,39.28,1.1849562081401361,2295103,84824267477.85678,Industrial Services,Oil & Gas Pipelines,NYSE,stock,common,52079000000
SLB,SLB Limited,57.15,-4.908485856905163,18458791,84818788044.0574,Industrial Services,Contract Drilling,NYSE,stock,common,35691000000
REGN,"Regeneron Pharmaceuticals, Inc.",823.82,3.096060469539972,682651,84816378603.82185,Health Technology,Pharmaceuticals: Major,NASDAQ,stock,common,14342900000
JCI,Johnson Controls International plc,139.25,0.7306134259259193,3160996,84349509470.58557,Producer Manufacturing,Industrial Machinery,NYSE,stock,common,23596000000
EMR,Emerson Electric Co.,147.63,-3.155339805825244,2700366,82348013516.74515,Electronic Technology,Electronic Equipment/Instruments,NYSE,stock,common,18011000000
AMT,American Tower Corporation,176.02,0.18212862834378007,2389160,82018287015.20787,Finance,Real Estate Investment Trusts,NYSE,stock,common,10644600000
MSI,"Motorola Solutions, Inc.",491.24,1.2239851638161956,1004323,81297159698.29326,Electronic Technology,Telecommunications Equipment,NYSE,stock,common,11682000000
SU,Suncor Energy Inc.,68.99,3.2475306794372973,3204989,80692751692.83727,Energy Minerals,Integrated Oil,NYSE,stock,common,35614805600
DDOG,"Datadog, Inc. Class A",223.84,-5.568680391495102,3429282,80375355252.32535,Technology Services,Packaged Software,NASDAQ,stock,common,3427158000
CTAS,Cintas Corporation,200.59,-0.5946776351652652,1522583,80270008500.17886,Commercial Services,Miscellaneous Commercial Services,NASDAQ,stock,common,11264761000
SHW,Sherwin-Williams Company,329.95,-2.6150349753549227,1471904,80098055454.30078,Process Industries,Industrial Specialties,NYSE,stock,common,23574300000
SNPS,"Synopsys, Inc.",414.82,-5.634796059964964,2043247,79494711360.93428,Technology Services,Packaged Software,NASDAQ,stock,common,7051023000
CVNA,Carvana Co. Class A,72.18,-1.7424448679553322,5619663,79431475940.28207,Retail Trade,Specialty Stores,NYSE,stock,common,20322000000
BAM,Brookfield Asset Management Ltd. Class A,49.66,-3.572815533980589,2010761,79319516459.51933,Finance,Investment Managers,NYSE,stock,common,4916586738.757551
MDLZ,"Mondelez International, Inc. Class A",61.61,-0.7410987594651214,7749583,78633334470.5236,Consumer Non-Durables,Food: Specialty/Candy,NASDAQ,stock,common,38537000000
ECL,Ecolab Inc.,280.25,-1.0416666666666625,1356529,78562088706.19792,Process Industries,Chemicals: Specialty,NYSE,stock,common,16081200000
CP,Canadian Pacific Kansas City Limited,88.97,-4.013377926421404,2057461,78211678155.03093,Transportation,Railroads,NYSE,stock,common,10979799600
LITE,"Lumentum Holdings, Inc.",868.95,-5.00787091696182,3835044,77944813179.95082,Producer Manufacturing,Electrical Products,NASDAQ,stock,common,3014000000
EOG,"EOG Resources, Inc.",148.35,2.3385761589403877,3781799,77813906685.93646,Energy Minerals,Integrated Oil,NYSE,stock,common,22654000000
APO,Apollo Global Management Inc,131.69,-3.580319226826779,2576448,77768636748.24731,Finance,Investment Managers,NYSE,stock,common,32462000000
FDX,FedEx Corporation,324.88,-0.7697006719608986,1813594,76889491332.62114,Transportation,Air Freight/Couriers,NYSE,stock,common,94720000000
ITW,Illinois Tool Works Inc.,269.88,-1.9936812288920394,1086001,76861819342.73972,Producer Manufacturing,Auto Parts: OEM,NYSE,stock,common,16044000000
